,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600073.SH,20211231,7.95,8.13,7.94,8.09,7.97,0.12,1.5056,150337.07,121128.014
1,600073.SH,20211230,7.92,7.99,7.92,7.97,7.94,0.03,0.3778,64586.06,51445.668
2,600073.SH,20211229,8.01,8.05,7.93,7.94,8.03,-0.09,-1.1208,90722.45,72347.819
3,600073.SH,20211228,8.07,8.09,8.0,8.03,8.07,-0.04,-0.4957,88413.6,70987.108
4,600073.SH,20211227,7.99,8.07,7.96,8.07,7.99,0.08,1.0013,123911.38,99343.914
5,600073.SH,20211224,7.95,8.01,7.9,7.99,7.97,0.02,0.2509,110918.33,88351.569
6,600073.SH,20211223,7.87,8.02,7.84,7.97,7.87,0.1,1.2706,136040.52,108240.671
7,600073.SH,20211222,7.9,7.9,7.84,7.87,7.87,0.0,0.0,60284.94,47425.315
8,600073.SH,20211221,7.77,7.88,7.77,7.87,7.79,0.08,1.027,72212.07,56603.651
9,600073.SH,20211220,7.78,7.85,7.76,7.79,7.81,-0.02,-0.2561,62840.34,49052.468
10,600073.SH,20211217,7.85,7.87,7.8,7.81,7.85,-0.04,-0.5096,60865.0,47599.111
11,600073.SH,20211216,7.82,7.86,7.78,7.85,7.82,0.03,0.3836,69248.43,54176.971
12,600073.SH,20211215,7.86,7.87,7.8,7.82,7.86,-0.04,-0.5089,87080.32,68127.217
13,600073.SH,20211214,7.87,7.89,7.83,7.86,7.86,0.0,0.0,71785.23,56427.645
14,600073.SH,20211213,7.89,7.92,7.84,7.86,7.89,-0.03,-0.3802,86187.36,67972.849
15,600073.SH,20211210,7.9,7.93,7.84,7.89,7.9,-0.01,-0.1266,83065.62,65562.04
16,600073.SH,20211209,7.8,7.93,7.78,7.9,7.8,0.1,1.2821,139375.94,109571.443
17,600073.SH,20211208,7.77,7.84,7.72,7.8,7.75,0.05,0.6452,86501.14,67329.805
18,600073.SH,20211207,7.71,7.76,7.69,7.75,7.7,0.05,0.6494,77581.2,59862.561
19,600073.SH,20211206,7.85,7.85,7.68,7.7,7.83,-0.13,-1.6603,112656.36,87398.437
20,600073.SH,20211203,7.78,7.83,7.77,7.83,7.78,0.05,0.6427,47963.1,37430.613
21,600073.SH,20211202,7.81,7.87,7.78,7.78,7.82,-0.04,-0.5115,68916.49,53891.695
22,600073.SH,20211201,7.77,7.83,7.73,7.82,7.77,0.05,0.6435,77248.59,60138.223
23,600073.SH,20211130,7.74,7.81,7.71,7.77,7.74,0.03,0.3876,62693.06,48698.671
24,600073.SH,20211129,7.78,7.81,7.72,7.74,7.83,-0.09,-1.1494,72804.51,56531.453
25,600073.SH,20211126,7.91,7.91,7.82,7.83,7.91,-0.08,-1.0114,63692.0,49984.7
26,600073.SH,20211125,7.9,7.95,7.88,7.91,7.92,-0.01,-0.1263,58852.35,46561.396
27,600073.SH,20211124,7.97,7.98,7.87,7.92,7.97,-0.05,-0.6274,62836.62,49734.855
28,600073.SH,20211123,8.0,8.0,7.92,7.97,8.0,-0.03,-0.375,69945.76,55567.932
29,600073.SH,20211122,7.95,8.03,7.94,8.0,7.97,0.03,0.3764,72598.18,57860.169
30,600073.SH,20211119,7.93,8.02,7.88,7.97,7.96,0.01,0.1256,87221.0,69187.363
31,600073.SH,20211118,8.02,8.09,7.95,7.96,8.03,-0.07,-0.8717,97713.78,78268.908
32,600073.SH,20211117,8.05,8.06,7.95,8.03,8.05,-0.02,-0.2484,89140.52,71286.964
33,600073.SH,20211116,8.25,8.32,8.03,8.05,8.26,-0.21,-2.5424,166631.98,135602.311
34,600073.SH,20211115,8.14,8.27,8.14,8.26,8.16,0.1,1.2255,123387.85,101421.244
35,600073.SH,20211112,8.16,8.22,8.11,8.16,8.14,0.02,0.2457,103001.49,84046.403
36,600073.SH,20211111,8.19,8.25,8.12,8.14,8.2,-0.06,-0.7317,121898.73,99495.525
37,600073.SH,20211110,8.24,8.28,8.1,8.2,8.24,-0.04,-0.4854,123683.53,101070.733
38,600073.SH,20211109,8.32,8.33,8.16,8.24,8.28,-0.04,-0.4831,104960.76,86388.789
39,600073.SH,20211108,8.34,8.45,8.23,8.28,8.38,-0.1,-1.1933,157033.44,130542.827
40,600073.SH,20211105,8.4,8.76,8.37,8.38,8.44,-0.06,-0.7109,263333.27,223711.235
41,600073.SH,20211104,8.25,8.47,8.21,8.44,8.26,0.18,2.1792,290210.23,243145.17
42,600073.SH,20211103,8.28,8.38,8.15,8.26,8.28,-0.02,-0.2415,247311.15,204688.393
43,600073.SH,20211102,7.98,8.31,7.97,8.28,7.93,0.35,4.4136,421145.76,345388.229
44,600073.SH,20211101,7.79,8.12,7.77,7.93,7.82,0.11,1.4066,204657.52,162607.793
45,600073.SH,20211029,7.56,7.91,7.51,7.82,7.56,0.26,3.4392,125300.57,97216.659
46,600073.SH,20211028,7.9,7.9,7.44,7.56,7.91,-0.35,-4.4248,141116.88,107302.799
47,600073.SH,20211027,7.89,7.95,7.81,7.91,7.9,0.01,0.1266,83998.0,66041.498
48,600073.SH,20211026,8.0,8.04,7.9,7.9,8.03,-0.13,-1.6189,83591.52,66552.425
49,600073.SH,20211025,8.11,8.17,7.91,8.03,7.97,0.06,0.7528,118052.96,94467.707
50,600073.SH,20211022,8.05,8.08,7.94,7.97,8.05,-0.08,-0.9938,94375.07,75356.948
51,600073.SH,20211021,8.06,8.15,8.02,8.05,8.07,-0.02,-0.2478,82093.0,66360.056
52,600073.SH,20211020,8.2,8.23,8.07,8.07,8.29,-0.22,-2.6538,160830.72,130525.866
53,600073.SH,20211019,7.91,8.35,7.86,8.29,7.91,0.38,4.804,267258.98,219146.498
54,600073.SH,20211018,8.04,8.04,7.8,7.91,8.05,-0.14,-1.7391,107845.55,85094.74
55,600073.SH,20211015,8.15,8.27,8.02,8.05,8.2,-0.15,-1.8293,124795.01,101259.335
56,600073.SH,20211014,8.2,8.25,8.14,8.2,8.21,-0.01,-0.1218,99579.54,81608.874
57,600073.SH,20211013,8.1,8.26,8.01,8.21,8.08,0.13,1.6089,162398.07,132529.259
58,600073.SH,20211012,8.11,8.14,7.99,8.08,8.15,-0.07,-0.8589,90769.23,73150.622
59,600073.SH,20211011,8.12,8.25,8.09,8.15,8.12,0.03,0.3695,120523.52,98381.24
60,600073.SH,20211008,7.83,8.24,7.8,8.12,7.83,0.29,3.7037,192271.36,155884.48
61,600073.SH,20210930,7.8,7.89,7.79,7.83,7.79,0.04,0.5135,75474.0,59167.941
62,600073.SH,20210929,7.87,7.98,7.77,7.79,7.93,-0.14,-1.7654,100951.11,79194.737
63,600073.SH,20210928,7.95,7.96,7.79,7.93,8.01,-0.08,-0.9988,114068.33,89949.708
64,600073.SH,20210927,8.08,8.29,7.96,8.01,8.09,-0.08,-0.9889,213581.81,173410.583
65,600073.SH,20210924,7.97,8.26,7.95,8.09,7.97,0.12,1.5056,249031.18,202563.426
66,600073.SH,20210923,7.96,8.0,7.89,7.97,7.87,0.1,1.2706,80400.96,63925.702
67,600073.SH,20210922,7.94,7.94,7.77,7.87,7.99,-0.12,-1.5019,79375.93,62395.958
68,600073.SH,20210917,8.05,8.05,7.86,7.99,7.98,0.01,0.1253,115865.71,92153.536
69,600073.SH,20210916,7.86,8.08,7.86,7.98,7.88,0.1,1.269,144961.64,116146.67
70,600073.SH,20210915,7.91,7.91,7.83,7.88,7.91,-0.03,-0.3793,57634.64,45303.083
71,600073.SH,20210914,7.97,8.09,7.9,7.91,7.96,-0.05,-0.6281,107074.42,85386.175
