QUOTE_DATE,STRIKE,TERM,PARAM_A,PARAM_B,PARAM_C
2021-02-02,3820.0,1M,-377.95159250778477,-10.705369139776208,16.829453868350985
2021-02-02,3820.0,1M,-285.52610636477107,-0.7394347297467738,11.742862697053736
2021-02-02,3820.0,1M,-275.25122622887073,3.881713683608966,10.834235030918252
2021-02-02,3820.0,1M,-267.75616881108493,7.819225714252354,10.181462601580872
2021-02-02,3820.0,1M,-266.513731571363,6.93443968753681,10.241833985293995
2021-02-02,3820.0,1M,-223.6418687401376,6.796533833385945,8.849239649670091
2021-02-02,3820.0,1M,-216.314584398952,20.253611034282482,7.461060042749896
2021-02-03,3820.0,1M,-171.97755928074258,23.108526993615975,5.076165440677748
2021-02-03,3820.0,1M,-180.41092173681037,25.462573418206848,5.243763386712711
2021-02-03,3820.0,1M,-188.99446501026654,23.8220732976824,5.8114401114036545
2021-02-03,3820.0,1M,-186.10224371623573,23.18867457824798,5.757250418305107
2021-02-03,3820.0,1M,-186.35006852982508,25.316415461688802,5.537601571032537
2021-02-03,3820.0,1M,-172.98058438194343,21.17960263036812,5.3538227496209165
2021-02-03,3820.0,1M,-172.23592997216292,20.7600881856525,5.369230178041952
2021-02-03,3820.0,1M,-184.00412283031818,27.65319338230751,5.1421885471688835
2021-02-03,3820.0,1M,-175.01990698539336,26.451007716719193,4.922459545009512
2021-02-25,3820.0,1M,-105.9218776951504,3.0554936604835667,4.9100668913098975
2021-02-25,3820.0,1M,-122.0818453235222,6.027450768075742,5.285218280890795
2021-02-25,3820.0,1M,-126.50164174583767,7.231254424148183,5.371723134362057
2021-02-25,3820.0,1M,-49.307649366358746,-2.989662417832413,3.387998767270809
2021-02-25,3820.0,1M,-56.96086031624802,-1.6933722035437295,3.5715227780259724
2021-02-25,3820.0,1M,-60.10351293209763,0.5368074244372346,3.4949509534998606
2021-02-25,3820.0,1M,-88.95732284756708,2.2890697982189128,4.520022145099093
2021-02-25,3820.0,1M,-114.39059163049467,6.2782951516241035,5.128715969674719
2021-02-25,3820.0,1M,-134.94412444914505,9.801543150909321,5.605808447279209
2021-02-25,3820.0,1M,-130.47018856919695,7.614762750422223,5.767241402477869
2021-03-03,3820.0,1M,-137.37691111713843,9.627819080478096,5.82389840618601
2021-03-03,3820.0,1M,-130.59623674900638,8.963831156803403,5.63196414642873
