QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.5373,0.0028,3.52836,-1.90956,0.96482, 0.159460, 14.000000,56.6, 20 x 36,62.0,62.5,4280.0,47.9,48.3, 16 x 20,57.7,-0.46054,0.00293,3.52819,-1.63192,-0.83237, 0.151000, 7.000000,8.2,0.002,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.52282,0.00281,3.53762,-1.89848,0.94041, 0.158820, 14.000000,55.1, 8 x 36,59.0,59.5,4285.0,49.9,50.6, 15 x 19,50.16,-0.47603,0.00301,3.53781,-1.62669,-0.85625, 0.149930, 5.000000,3.2,0.001,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.50906,0.00281,3.54308,-1.88772,0.91586, 0.157460, 7.000000,51.3, 21 x 13,56.1,56.6,4290.0,52.0,52.7, 8 x 8,60.5,-0.49048,0.00303,3.54357,-1.61517,-0.88025, 0.149490, 7.000000,1.8,0.0,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.49482,0.00284,3.54405,-1.87571,0.89092, 0.156190, 9.000000,47.64, 8 x 12,53.3,53.9,4295.0,54.3,54.7, 14 x 7,0.0,-0.5067,0.00308,3.54328,-1.59839,-0.90466, 0.148380, ,6.8,0.002,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.4797,0.00291,3.53983,-1.85453,0.86458, 0.155540, 528.000000,43.0, 14 x 21,50.5,51.0,4300.0,56.4,56.9, 16 x 16,65.9,-0.52155,0.00305,3.53841,-1.57799,-0.92831, 0.146580, 903.000000,11.8,0.003,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.46558,0.00291,3.53147,-1.83702,0.83877, 0.154100, ,0.0, 7 x 12,47.9,48.3,4305.0,58.7,59.1, 7 x 7,59.25,-0.53748,0.00306,3.52728,-1.55518,-0.95164, 0.145530, 1.000000,16.8,0.004,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-17,1697572800,15.0,0.45038,0.00295,3.51836,-1.81718,0.81276, 0.153610, 9.000000,41.3, 7 x 43,45.3,45.8,4310.0,60.9,61.5, 7 x 7,67.2,-0.55377,0.00307,3.51077,-1.52936,-0.97516, 0.143790, 8.000000,21.8,0.005,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-18,1697659200,16.0,0.53797,0.00267,3.63786,-1.88582,1.02731, 0.161600, 2.000000,73.0, 7 x 28,64.7,65.2,4280.0,49.9,50.5, 16 x 4,55.7,-0.46056,0.00284,3.63723,-1.58735,-0.88186, 0.153040, 2.000000,8.2,0.002,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-18,1697659200,16.0,0.52494,0.00274,3.64812,-1.87529,1.00222, 0.160530, 22.000000,73.63, 7 x 29,61.7,62.2,4285.0,52.0,52.3, 15 x 7,54.05,-0.47495,0.00291,3.64729,-1.57548,-0.9055, 0.151950, 1.000000,3.2,0.001,1M
1696276800, 2023-10-02 16:00, 2023-10-02,16.0,4288.24, 2023-10-18,1697659200,16.0,0.5106,0.0028,3.65389,-1.86285,0.97756, 0.159200, 15.000000,55.9, 13 x 5,58.7,59.2,4290.0,54.0,54.7, 15 x 19,47.37,-0.48882,0.00289,3.653,-1.56816,-0.9301, 0.150850, 4.000000,1.8,0.0,1M
