QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-16,1623873600,15.0,0.54341,0.00371,3.45613,-1.32401,0.91996, 0.124490, 9.000000,51.87, 7 x 7,48.19,48.71,4190.0,39.6,40.0, 7 x 7,37.08,-0.45799,0.00351,3.45859,-1.49223,-0.84637, 0.129060, 86.000000,12.1,0.003,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-16,1623873600,15.0,0.50666,0.00387,3.47624,-1.30795,0.86466, 0.121790, 41.000000,42.07, 7 x 36,42.2,42.6,4200.0,43.4,43.8, 7 x 7,43.92,-0.49351,0.00367,3.47661,-1.47081,-0.91207, 0.125750, 28.000000,2.1,0.0,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-16,1623873600,15.0,0.46795,0.00389,3.46609,-1.27414,0.80439, 0.118450, 33.000000,39.51, 29 x 31,36.3,36.9,4210.0,47.29,48.2, 2 x 2,44.7,-0.53104,0.00372,3.46599,-1.43548,-0.98179, 0.122270, 16.000000,7.9,0.002,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.53936,0.00336,3.67302,-1.28282,1.0259, 0.128370, 8.000000,53.11, 45 x 45,52.0,52.9,4190.0,43.79,44.9, 45 x 45,43.93,-0.4626,0.00323,3.67451,-1.45846,-0.96398, 0.133510, 358.000000,12.1,0.003,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.52318,0.00344,3.6844,-1.26084,0.99893, 0.125990, 906.000000,50.9, 45 x 45,48.31,49.4,4195.0,45.6,46.29, 165 x 165,43.9,-0.47842,0.00334,3.68617,-1.44147,-0.9974, 0.130620, 873.000000,7.1,0.002,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.50577,0.00353,3.69112,-1.26143,0.96938, 0.125710, ,45.85, 45 x 45,45.49,46.9,4200.0,47.1,48.2, 45 x 45,46.6,-0.49462,0.00329,3.69078,-1.42373,-1.03263, 0.128830, ,2.1,0.0,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.48742,0.0035,3.68988,-1.24606,0.93935, 0.124010, ,43.0, 90 x 342,42.9,43.51,4205.0,49.7,50.8, 45 x 45,50.14,-0.51186,0.00338,3.6897,-1.42567,-1.06721, 0.129270, ,2.9,0.001,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.47024,0.00352,3.68139,-1.23169,0.90821, 0.122920, 263.000000,41.1, 167 x 310,40.01,40.79,4210.0,51.79,53.0, 45 x 45,52.31,-0.52803,0.00332,3.68195,-1.41029,-1.10364, 0.127570, 353.000000,7.9,0.002,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-18,1624046400,17.0,0.45112,0.00358,3.66395,-1.20247,0.87556, 0.120350, ,37.4, 75 x 75,37.01,37.5,4215.0,53.71,54.5, 45 x 45,54.25,-0.54677,0.00341,3.66581,-1.37641,-1.14127, 0.124210, ,12.9,0.003,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-21,1624305600,20.0,0.53826,0.00318,3.97308,-1.18212,1.19652, 0.127350, 8.000000,58.6, 8 x 38,55.7,56.19,4190.0,47.41,49.5, 4 x 100,46.8,-0.46391,0.003,3.97559,-1.34379,-1.13256, 0.133970, 83.000000,12.1,0.003,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-21,1624305600,20.0,0.50618,0.00325,3.99104,-1.15142,1.13581, 0.123750, 315.000000,49.93, 30 x 30,48.9,49.5,4200.0,51.2,53.0, 4 x 52,50.6,-0.49325,0.00305,3.99079,-1.32202,-1.20574, 0.130260, 103.000000,2.1,0.0,1M
1622577600, 2021-06-01 16:00, 2021-06-01,16.0,4202.07, 2021-06-21,1624305600,20.0,0.4731,0.00329,3.98275,-1.12507,1.0685, 0.120470, 813.000000,44.46, 39 x 40,43.0,43.7,4210.0,50.0,58.8, 1 x 4,54.7,-0.52672,0.00327,3.98273,-1.25097,-1.2857, 0.122720, 91.000000,7.9,0.002,1M
